12837
52 9 21	Eliana Gonzalez
20 9 29	Cecil Thomas
51 1 3	Clayton Harrington
63 6 26	Mildred Sullivan
63 2 0	Stephenie Harris
26 11 4	Sherri Taylor
65 0 5	Roy Weaver
84 7 2	Wayne Cooper
84 9 15	Edward Huddleston
21 5 16	Jason Carter
65 6 8	Mary Benton
63 7 17	Marion Wright
20 5 18	Clarence Walker
51 0 0	Jennifer Hall
39 1 7	Dexter Carr
72 11 18	Janet Jones
41 8 20	Ashley Morgan
30 6 22	Andrew Hughes
85 6 21	Kevin Ward
84 9 18	Denise Bailey
19 2 16	Delaine Lee
85 0 20	Ella Sterling
50 11 8	See Kelley
16 5 21	Wanda Hubbard
32 4 13	Marion Foster
55 0 10	Estelle Bailey
79 11 3	Marjorie Hughes
21 1 24	Rosie Bryant
81 4 14	Erica Lamb
12 3 20	Denise White
71 10 28	Hsiu Goodrich
51 9 0	Mary Wagner
40 7 26	Jane Archer
56 5 29	Jane Faison
69 2 10	Krissy Martinez
80 8 2	Collen Kelly
16 5 4	Zachary Banks
71 10 25	Mildred Roberts
17 5 27	Hsiu Ramirez
14 1 21	Clark Dunn
40 2 21	Andrew Moody
38 10 21	Ryan Caraballo
49 0 13	Brian Carvalho
85 8 15	Barbara Ross
88 0 3	Mary Barber
24 10 29	Lonnie Coleman
44 6 10	Nelson Watson
57 4 11	Nicholas Smith
65 11 20	Erica Sanders
39 9 25	Angelika Nelson
61 7 19	Andrew Moran
35 4 11	Lillian Horowitz
78 8 9	Mary James
84 0 18	Mary Simpson
32 3 10	David Weaver
46 0 19	Norman Baumann
8 7 23	Nicholas Dunn
34 4 8	Mildred Lopez
46 2 26	Michael Morgan
54 2 2	Laurence Bowen
23 3 26	Amanda Gracia
46 4 18	Karrie Banks
44 0 12	Jenifer Long
16 1 26	Nancy Howard
89 7 18	Dawne Wright
51 11 6	Martin Holloway
77 10 18	Michael Marsh
52 4 19	Jennifer Sanchez
84 5 26	Alejandro Wright
77 4 3	Jacqulyn Marsh
75 6 16	Charlene Shuman
57 11 7	Johnny Huddleston
21 2 27	Grace Walters
63 10 19	Catherine Baumann
8 1 20	Eugenia Peters
10 6 14	Ryan Peterson
55 7 11	Zada Ruiz
22 5 8	Jean Lamb
10 7 30	Hsiu Medina
44 10 17	Ashley Barnes
86 3 14	Marjorie Barnes
87 1 14	Aida Franklin
12 9 0	Eileen Carvalho
18 1 17	Cynthia Shuman
51 6 20	Benjamin Pulliam
40 3 20	Nicolette Aguilar
68 1 7	Shani Peters
16 0 26	Marjorie Allen
63 8 24	Myron Gonzalez
22 3 4	Rafael Reed
56 10 12	Karen Ball
73 10 21	Fred Harvey
52 2 8	Kevin Tackett
21 1 23	Shrimply Tate
10 5 6	Kevin White
73 5 8	Elijah Huddleston
25 4 8	Annie Knight
37 6 19	Walter Huddleston
65 9 3	Nelson Blanton
62 10 3	Jean Holloway
9 3 6	Clark Taylor
77 8 12	Terry Hutchings
38 11 10	Casey Aaron
78 9 17	Timmy Hampton
37 5 19	Niki Walker
69 7 28	Kevin Ruiz
78 7 7	Jack Dennis
19 4 3	George Simpson
13 9 6	Norman Rhodes
64 2 7	Samual Parker
75 1 4	Zada Evans
19 9 1	Johnathan Horan
62 7 12	Inez Yoon
10 4 25	Maryalice Butler
77 8 26	Oretha Roy
26 2 18	Michael Willis
9 11 12	Jacqueline Buchanan
58 9 26	Lillian Morgan
29 7 20	Kathleen Reeves
54 7 6	Maryalice Fleming
56 1 13	Frankie Dunn
38 0 27	Katherine Brown
76 10 26	Belinda Hines
45 10 24	Herma Humphrey
24 5 25	Ronald Scott
50 4 14	Eliana Nelson
46 1 30	Hsiu McDonald
10 8 12	Jane Barnes
67 3 25	Max Barber
60 6 22	Terry Coleman
47 4 19	Lucia Horowitz
19 10 9	Margaret Walker
45 0 26	Bobby Lindsey
90 11 29	Gordon Foster
57 2 24	Rafael Adams
50 6 6	Ella Brown
54 9 30	George Henderson
55 2 16	Elijah Dean
80 10 2	Marie Alvarado
41 7 23	Mary Alvarado
84 7 15	Martha Smith
36 7 1	Anna Williams
55 5 18	Gerard Fleming
15 4 11	Levi Phillips
64 3 3	Wanda Reed
13 11 16	Eugenia Alexander
65 6 30	Pat Robinson
84 5 1	Alice Walters
18 6 30	See Wood
88 7 20	Kim Maier
88 3 4	Cecil Parker
86 11 1	Zada Jackson
79 5 14	Kevin Collins
63 9 23	Bobby Reyes
65 2 9	Helen Rogers
22 2 0	Judith Barth
34 6 20	Karen Reyes
44 10 2	Alejandro Collins
62 10 29	Cheryl Dean
17 1 0	Gerard Neal
9 2 29	Mildred Bass
53 10 27	Jeni Copeland
56 11 25	Ashley Padilla
22 3 23	Marilyn Jones
8 11 25	Clark Morgan
28 10 27	Willie Barber
41 8 13	Glennis Wilson
72 4 2	Jane Jenkins
59 9 5	Eloise Price
45 2 4	Earnest Cox
10 4 28	Wayne Campbell
35 1 30	Jeremy Campbell
39 3 5	Antoinette Hamilton
14 4 1	Catherine Scott
44 3 8	Kathy King
16 11 0	Earnest Sanchez
89 1 10	Aida Drake
26 9 29	Santiago Aguilar
31 2 13	Hugh Hines
54 8 26	Krissy Jones
27 9 26	Nicolette Bailey
69 3 11	Darrin Pibbles
46 7 13	Walter Fortune
85 6 26	Natalie Hines
53 11 19	Joshua Sterling
71 11 5	Aubrey Gracia
88 4 16	Dexter Bowling
53 10 18	Wilson George
12 8 23	Jack Coleman
49 3 30	Deborah Hollins
83 8 29	Nancy Davis
83 5 8	Herma Wagner
25 10 5	Patti Rivera
27 9 8	Levi Jones
58 5 16	Charlene Sanchez
52 4 25	Andre Wright
45 9 24	Jean Humphrey
62 2 21	Grace Torres
65 3 10	Jane Torres
88 0 27	Jack Main
8 9 5	Rose Butler
14 6 3	Martin Carter
41 4 14	Clark Lewis
8 7 21	Treva Lewis
54 6 23	Bobby Vaughn
75 4 5	Rebecca Bennett
51 7 12	Kim Price
48 1 11	Marilyn Tate
90 4 13	Eileen Henderson
89 9 13	Rafael Platt
50 1 17	Roger Barber
22 2 2	Jennifer Thompson
79 1 8	Levi Vega
28 11 24	Josphine Franklin
48 6 22	Earl Harrison
84 0 12	See Ruiz
56 4 30	Clarence Boyle
18 6 1	Rose Mccune
54 2 21	Anya Thomas
89 11 9	Gordon Gracia
75 0 16	Charlene Reed
21 2 6	Steve Lee
73 10 24	Nelson Vaughn
50 9 7	Wayne Medina
72 7 10	Shanelle Peters
64 9 25	Aida Mabry
56 4 23	Kathleen Barlow
75 8 14	Randee Simmons
82 5 18	Gordon Jones
62 0 14	Anna Sanders
69 8 21	Mildred Medina
8 9 8	Lindsay Bennett
72 2 28	Ken Coleman
47 3 22	Natasha Holland
70 3 27	Martin Browne
50 2 14	Marilyn Lee
84 11 29	Dawne Sterling
71 9 12	Darrin Lee
61 7 12	Willie Turner
22 9 8	Shani Adams
43 0 30	Terry Aguilar
86 5 29	Christopher Barlow
11 9 7	Lillian Horowitz
87 0 26	Jackie Hardy
90 9 15	Eugenia Pulliam
38 1 12	Andres Watson
82 9 11	Marjorie Reid
68 9 12	Niki Tiller
63 7 18	Denise Parker
18 7 0	Susan Mabry
