3193
39 2 30	Nicholas Watson
53 3 23	Dawne Weaver
88 8 26	Robin Peterson
24 8 1	Marie Reeves
88 6 12	Eugene Hunt
10 1 12	Lindsey Gracia
57 11 27	Levi Lanham
23 1 5	Eloise Pibbles
29 9 8	Melissa Long
82 8 0	Calvin Franklin
72 0 20	Lillian Sherman
57 6 21	Jeremy McDaniel
84 2 25	Sarah Hubbard
69 1 5	Gordon Pibbles
34 8 13	Angie Foster
75 10 8	Melita Maldonado
29 4 17	Niki Jackson
21 10 28	Alma Young
33 10 8	Max Bryant
78 7 23	Pat Green
9 11 11	Willie Alvarado
46 0 22	Brian Carter
64 5 30	Rafael Miller
41 9 3	Walter Willis
45 6 17	Charles Wagner
33 0 8	Ronald Powell
77 8 22	Nancy Johnson
36 1 29	Kim Pibbles
24 7 7	Amanda Hughes
78 6 4	Charles Miller
23 0 20	Patricia Holloway
51 11 6	Santiago James
38 7 4	Melita Casey
57 9 0	Collen Hunt
59 7 22	Judith Long
58 11 1	Deborah Lopez
40 11 10	Patti Brown
59 7 9	Darrin Ross
31 6 15	Aaron Scott
88 10 16	Shani Hamilton
11 11 13	Nelson Green
15 8 24	Lillian Anderson
24 0 3	Natalie Freeman
80 4 14	Heidi Bass
73 9 0	Dawne Washington
88 10 19	Sophia Jackson
63 11 15	Dorothy Ward
76 0 13	Brandon Gonzales
18 4 3	Anya Collins
70 0 21	Katherine Copeland
10 2 3	Jackie Fortune
23 4 28	Marion Alvarado
87 6 24	Delaine Young
18 0 10	Melita Adams
74 1 11	Carley Baldwin
39 5 2	Jack Alexander
58 11 19	Shanelle George
39 0 26	Estelle Hardy
47 3 11	Marshall Flores
50 0 25	Wilmer Hall
51 6 9	Yuonne Padilla
45 1 26	Brian Cook
21 6 27	Melita Lewis
26 7 29	Lillian Gonzalez
21 8 19	Maria Stewart
73 3 8	Randee Benton
45 9 21	Pamala Shuman
17 11 24	Cheryl Hall
30 9 12	Lindsay Hindman
38 4 20	Oretha Lopez
43 0 26	Marion Blanton
19 2 8	Walter Wood
18 5 18	Jack Diaz
26 11 20	Julie Doyle
49 10 7	Wanda Coleman
86 11 29	Mildred Gonzalez
48 3 11	Luz Porterfield
32 2 16	Howard Carr
51 11 12	Oretha Price
88 6 1	Kevin Horowitz
32 2 7	Cecil Humphrey
9 4 27	Rachel Barber
31 8 8	Cecil Tate
83 6 27	Samual Baumann
52 3 6	Barbara Peterson
22 7 16	Jenifer Martinez
57 6 29	Samual Reddick
69 5 1	Kenneth Hampton
56 5 3	Spencer Hunt
83 6 5	Wilmer Perez
73 0 18	Calvin Turner
74 1 29	Chris Maldonado
37 6 2	Hugh Webb
46 6 9	Cecil Collins
43 2 7	Candelaria Rogers
31 9 4	Lila Garcia
52 1 6	Kenneth Hardy
28 2 3	Pamela Walters
62 8 16	Judith Benton
61 1 20	Vera Huddleston
81 5 14	Kelly Adams
64 0 30	Joanne Howard
41 9 8	Wayne Long
86 6 13	Janet Tate
8 8 15	Helen Coleman
26 0 24	Treva Reed
43 7 17	Howard Brown
22 6 24	Alejandro Ruiz
47 1 27	Kevin Robinson
16 10 10	Bobby McDaniel
88 7 6	Nicholas Weaver
14 4 5	William Russell
45 6 9	Steve Holloway
43 6 15	Kelly Hudson
61 1 27	Yuonne Lane
12 8 10	Luz Bailey
18 4 22	Jacqulyn Morgan
51 4 1	Janice Martinez
41 11 30	Antoinette Dean
55 11 15	Elvina Bennett
15 11 8	Michelle Maier
85 2 1	Deborah Meyer
36 7 30	Treva Gray
87 4 6	Terence Harrison
55 7 4	Earnest Nelson
78 5 6	Joe Dennis
70 1 18	Annie Townsend
74 10 14	Tammy Hughes
41 5 28	Delaine Griffin
54 11 0	Felipe Paul
80 1 17	See Martinez
53 3 23	Dorothy Lane
77 8 0	Mildred Boyle
33 7 9	Nancy Morgan
80 0 6	Charles Walker
61 1 14	Jackeline Turner
11 2 25	Marjorie Drake
73 11 6	Randee Lanham
45 9 1	Elvina Horowitz
29 3 21	Krissy Reid
23 6 1	Kevin Taylor
39 1 24	Clark Parker
82 11 8	Terence Hines
73 3 28	Rebecca Bailey
35 9 3	Annie Norman
29 11 0	Terence Hamilton
50 11 2	Niki Moran
47 10 1	Ken Cooper
28 4 27	Johnny Bennett
73 3 26	Terrell Morgan
70 6 29	Joe Doyle
60 3 9	Adam Hudson
50 5 29	Michelle Arevalo
54 6 28	Marie Brockman
46 6 26	Shanelle Wheeler
31 3 1	Darrin Horowitz
12 10 3	Kenneth Fortune
44 8 12	William Walker
83 4 22	Dorothy Perry
79 1 26	Roy Taylor
80 8 2	Kenneth Morgan
45 10 25	Brandon Reyes
25 1 21	Michelle Dean
81 8 10	Jeni Mabry
45 4 29	Jackie Fleming
66 6 20	Arthur Ward
54 10 6	Lucia Hindman
32 0 26	Tracy Bailey
30 0 4	Karen Cook
58 3 22	Janice Holland
46 8 25	Mary Ruiz
72 11 6	Hugh Hampton
33 7 24	Johnathan Reddick
28 3 10	Elvina Shuman
64 3 29	Frankie Lindsey
61 4 4	Fred Wilkins
46 5 17	Andres Shuman
42 1 17	Rosie Wilson
83 0 23	Calvin Henderson
29 5 30	Shanelle Barrett
83 4 22	Margaret Sterling
24 10 6	Earnest Perry
30 3 8	Ernest Reeves
35 11 10	Sharon Hampton
10 1 14	Angel Rodriguez
21 4 12	Heidi Marsh
58 4 4	Pamela Anderson
82 10 20	Rebecca Jenkins
25 0 25	Joe Rivera
29 9 13	Dawne Barlow
30 10 6	Rachel Blanton
