3430
29 6 7	Myron Dunn
41 9 25	Kevin Turner
63 1 2	Devin Green
70 3 7	Kathleen Ball
72 3 4	Oretha Reyes
72 3 6	Stasia Jenkins
18 7 6	Herma Lane
27 4 13	Oretha Reyes
49 8 22	Frankie Mitchell
51 10 20	Shrimply Alvarado
82 7 12	Salvador Orosco
87 3 1	Benjamin Benton
19 6 14	Arthur Banks
71 10 6	Eileen Russell
84 0 30	Alycia Casey
59 8 0	Lindsey Fortune
47 9 21	Roy Humphrey
59 9 29	Felipe Nelson
35 10 24	Lindsay Jenkins
62 0 22	Ronald Seymore
18 2 13	Annie Browne
28 4 2	Shanelle James
78 7 8	Clarence Tiller
52 9 12	Katherine Neal
49 2 9	Inez Butler
26 1 20	Catherine Edwards
63 11 1	Adam Caraballo
27 3 5	Marion Bowling
41 6 8	Elvina Cox
85 11 2	Michelle Boyle
56 5 9	Eliana Duong
70 9 16	Shrimply Lane
82 6 8	Salvador Humphrey
61 7 12	Terrell Wilkins
42 10 25	Jackeline Townsend
85 8 27	Casey Harrington
62 2 21	Diana Horowitz
81 1 8	Rebecca Barrett
82 9 15	Maryalice Harrington
80 5 0	Anna Lewis
66 7 23	Kevin Smith
21 1 26	Wanda Phillips
43 10 30	Roy Reyes
9 11 14	Jason Payne
24 3 20	Spencer Doyle
59 4 12	Kim Brockman
45 8 13	Marie Sullivan
22 6 19	Kevin Horan
86 7 6	Wilmer Blanton
51 10 27	Frankie Taylor
75 0 29	Eugene Hutchings
35 1 15	Jonathan Griffin
75 9 3	Denise Carvalho
43 8 18	Pamela Parker
66 0 1	Alice Faison
86 10 1	Kathleen Griffin
48 2 16	Felipe Miller
81 4 9	Cecil Vaughn
12 1 11	Marjorie McDonald
61 7 18	Terrell Perez
86 8 23	Jean Long
30 8 16	Anna Jackson
90 9 13	Andre Sherman
24 1 10	Howard Wilson
32 7 12	Annie Perkins
61 8 22	Robin Holland
78 5 28	Jackeline Wright
64 5 7	Eileen Harris
81 1 10	Krissy Graves
51 9 27	Arthur Powell
12 9 24	Maryalice Roberts
71 7 10	Michael Edwards
79 0 23	Kelly Shuman
27 0 8	Julie Campbell
61 3 4	Delaine Torres
31 11 24	Josphine Butler
19 0 13	Herma Vargas
53 1 19	Timmy Anderson
85 2 30	Earl Lindsey
76 7 7	Karrie Hudson
78 7 6	Jenifer Flores
35 6 1	Marie Lopez
13 6 17	Jenifer Harrison
60 0 3	Angel Aaron
32 3 1	Roger Roland
44 6 9	Betty Hubbard
25 7 9	Zachary Gonzales
57 0 30	Terrell Dennis
82 3 30	Lillian Moran
89 1 24	Michael Maldonado
15 7 28	Belinda Robinson
23 9 28	Niki Paul
18 8 4	Andrea McDaniel
44 10 25	Darrin Horowitz
16 11 5	Casey Harvey
15 3 1	Benjamin Cooper
77 7 6	Jack McDaniel
23 11 24	Sophia Humphrey
10 4 3	Dwayne Bass
33 5 29	Katherine Copeland
68 6 9	Willie Bailey
47 2 2	Judith Flaherty
54 9 19	Doris Long
69 1 17	Tracy Diaz
47 0 15	Eileen Main
61 4 23	Gerard Thompson
35 5 10	Julie Bell
