10607
87 7 26	See Hines
85 5 1	Cynthia Wilkins
50 10 1	Marshall Carvalho
71 5 12	Rachel Carr
58 9 7	Gregory Weaver
49 3 26	Glennis Boyle
64 7 17	Patricia Perry
46 6 3	Carl Hamilton
58 3 20	Lynn Patterson
20 2 6	Niki Harrison
49 7 11	Khadijah Townsend
12 1 27	Ronald Cooper
20 5 4	Marjorie Holland
28 6 12	Cecil Ramirez
21 1 18	Charles Vega
23 3 14	Rafael Sanchez
13 6 3	Kathy Howard
74 11 22	Pat Wilson
51 3 18	Frankie Sullivan
78 3 25	Charlene Evans
65 8 8	David Bass
29 10 28	Max Alvarado
24 7 22	Angel Butler
67 0 5	Grace Franklin
43 11 16	Eugenia Bennett
30 6 22	Jose Maier
33 11 29	Patricia Perkins
13 4 6	Jeni Willis
48 6 21	Diana Mitchell
30 3 4	Jennifer Reyes
13 1 12	Valerie Vega
12 9 24	Maddie Wilson
29 11 12	Pat Nelson
17 1 23	Margaret Powell
23 5 1	Natalie Price
44 10 26	Salvador Pibbles
82 9 5	Cynthia Martin
64 7 17	Calvin Goodrich
69 9 2	Samual Foster
25 4 19	Ashley Holloway
23 1 3	Jane Martin
27 11 11	Aubrey Murphy
70 7 18	Tracy James
68 6 15	Steve Faison
49 6 20	Jorge Hill
33 7 17	Kelly Duong
42 11 4	Alan Morgan
29 5 30	Rufus Platt
17 8 28	Pamala Casey
79 1 18	Tracy Cooper
35 10 24	Darrin Fenton
49 5 16	Elvina Martinez
29 4 2	Elijah Scott
45 0 24	Zachary Carter
68 2 3	Hugh Caraballo
65 9 17	Shrimply Taylor
34 4 0	Luz Buchanan
46 10 29	Treva Lewis
82 4 14	Margaret Stokes
66 10 18	Jeremy Washington
39 2 10	Janet Holloway
83 10 15	Belinda Baldwin
51 4 0	Jackeline Steadman
74 3 20	Johnathan Campbell
14 5 10	Annie Cooper
49 2 10	Jacqueline Harris
25 2 16	Heidi Benton
13 4 5	George Ramirez
81 2 2	Jack Flaherty
85 8 9	Germaine Lewis
90 10 1	Darrin Bowen
49 0 11	Rachel Rogers
23 5 14	Valerie Hernandez
9 1 7	Grace Hughes
31 6 29	Martin Lee
13 6 24	Brian Bennett
87 7 29	Elijah Simmons
43 5 24	Susan Collins
73 8 6	Delaine Wilson
46 4 4	Josphine Perez
15 9 1	Joe Baker
46 11 25	Natalie Tackett
25 11 18	Johnathan Hubbard
56 2 27	Rebecca Boyle
19 5 0	Shrimply Aaron
39 8 29	Nicolette Bowen
51 1 7	George Marsh
17 11 24	Jenifer Henderson
46 5 28	Nancy Roberts
75 4 27	Dawne Dean
43 10 1	Alan Allen
26 3 30	Nancy Hamilton
21 4 15	Martha Reyes
84 6 18	Santiago Lee
27 7 29	Roy Hines
68 9 25	Alma Lopez
49 5 23	Margaret Aguilar
65 6 30	Patricia Marsh
46 5 1	Valerie Tate
54 11 18	Martin Martin
81 6 17	Nicholas Hudson
63 5 25	Annie Thompson
19 1 18	Melita Maier
17 9 13	Rebecca Knight
